2026-05-09 12:56:24  INFO      orchestrator_v2 — Rankings CSV  → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/company_rankings.csv  (23 rows)
2026-05-09 12:56:24  INFO      orchestrator_v2 — News CSV      → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/news_insights.csv  (39 rows)
2026-05-09 12:56:24  INFO      orchestrator_v2 — Coverage CSV  → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/source_coverage_report.csv  (23 rows)
2026-05-09 12:56:24  INFO      orchestrator_v2 — Extraction CSV → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/live_extraction_report.csv  (23 rows) ✨ NEW
2026-05-09 12:56:24  INFO      orchestrator_v2 — Pipeline v2 completed in 388.9s
2026-05-09 15:37:56  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 15:37:56  INFO      orchestrator_v2 — STEP 1/6 — Scraping IRDAI (NBP, market share, policies)...
2026-05-09 15:37:56  INFO      scrapers.irdai_scraper — Attempting IRDAI HTML scrape...
2026-05-09 15:37:56  WARNING   scrapers.irdai_scraper — IRDAI HTML scrape failed: 404 Client Error:  for url: https://irdai.gov.in/web/guest/statistical-data
2026-05-09 15:37:57  INFO      scrapers.irdai_scraper — Attempting IRDAI PDF extraction...
2026-05-09 15:37:57  INFO      scrapers.irdai_scraper — Downloading PDF: https://irdai.gov.in/documents/37343/6955817/Annual+Report+2022-23.pdf
2026-05-09 15:37:58  WARNING   scrapers.irdai_scraper — PDF extraction failed for https://irdai.gov.in/documents/37343/6955817/Annual+Report+2022-23.pdf: 404 Client Error:  for url: https://irdai.gov.in/documents/37343/6955817/Annual+Report+2022-23.pdf
2026-05-09 15:37:58  INFO      scrapers.irdai_scraper — Downloading PDF: https://irdai.gov.in/documents/37343/5419466/IRDAI_Annual_Report_2021-22.pdf
2026-05-09 15:37:58  WARNING   scrapers.irdai_scraper — PDF extraction failed for https://irdai.gov.in/documents/37343/5419466/IRDAI_Annual_Report_2021-22.pdf: 404 Client Error:  for url: https://irdai.gov.in/documents/37343/5419466/IRDAI_Annual_Report_2021-22.pdf
2026-05-09 15:37:58  WARNING   scrapers.irdai_scraper — All IRDAI live sources failed — using seed data.
2026-05-09 15:37:58  INFO      orchestrator_v2 — Raw saved → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/raw/irdai_20260509_153758.csv  (23 rows)
2026-05-09 15:37:58  INFO      orchestrator_v2 — IRDAI: 23 records  [source=seed_fallback]
2026-05-09 15:37:59  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
